"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Shared Mem","block","3.00","3.00","3.00"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Warps","block","3.00","3.00","3.00"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Theoretical Active Warps per SM","warp","48.00","48.00","48.00"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Theoretical Occupancy","%","100.00","100.00","100.00"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Achieved Occupancy","%","53.68","53.72","53.70"
"105169","test_paper_bench","127.0.0.1","axpy_dot_kernel(double *, const double *, double, const bool *, int, int, int, int, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Achieved Active Warps Per SM","warp","25.77","25.79","25.78"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","dram__bytes.sum","Kbyte","610.18","610.30","610.24"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","l1tex__t_bytes.sum","Mbyte","3.22","3.22","3.22"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","lts__t_bytes.sum","Mbyte","2.43","2.43","2.43"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Frequency","cycle/nsecond","9.17","9.34","9.26"
